"port_biologist_initials","n_correct","n","accuracy","cnry_exp"
"CR",4,4,1,"<1 year"
"JL",2,2,1,"2 years"
"JSM",13,15,0.866666666666667,"10+ years"
"KL",17,25,0.68,"1-2 years"
"LG",0,1,0,"6mo"
"SF",50,63,0.793650793650794,"10+ years"
