"macro_code","histo_1","histo_2","histo_3","histo_4_1","histo_4_2","histo_5","histo_6","histo_7","histo_8","histo_9","histo_10","histo_11","histo_12","binary_disagree","specific_stage_disagree","N"
"1",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
"2",0,0,10,9,1,2,0,0,0,0,0,0,0,54.5,54.5,22
"3",0,0,1,10,1,2,6,21,14,0,0,0,0,1.8,65.5,55
"4",0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,2
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"7",0,0,11,7,0,0,0,0,0,0,0,0,6,45.8,75,24
"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,61.8,110
