"macro_code","histo_1","histo_2","histo_3","histo_4_1","histo_4_2","histo_5","histo_6","histo_7","histo_8","histo_9","histo_10","histo_11","histo_12","binary_disagree","specific_stage_disagree","N"
"1",0,5,9,4,0,0,0,0,0,0,0,0,0,22.2,22.2,18
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"3",0,0,1,2,1,0,8,33,12,0,0,0,0,1.8,94.7,57
"4",0,0,0,0,0,0,1,0,8,0,0,0,0,0,88.9,9
"5",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"6",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
"7",0,2,4,0,0,1,1,0,0,0,0,0,7,40,53.3,15
"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,66.6,111
