"macro_code","histo_1","histo_2","histo_3","histo_4_1","histo_4_2","histo_5","histo_6","histo_7","histo_8","histo_9","histo_10","histo_11","histo_12","binary_disagree","specific_stage_disagree","N"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"2",0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,36
"3",0,0,0,0,0,0,0,12,3,0,0,1,0,0,25,16
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,1
"7",0,11,2,0,1,0,0,0,0,0,0,2,3,68.4,84.2,19
"Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,29.2,72
