Year,N
1977,17
1978,73
1979,67
1980,168
1981,17
1982,160
1983,505
1984,157
1985,362
1986,406
1987,519
1988,329
1989,249
1990,355
1991,151
1992,365
1993,195
1994,130
1995,144
1996,83
1997,28
1998,82
1999,45
2000,48
2001,5
2002,57
2003,2
2005,45
2006,19
2007,1
2008,12
2009,102
2010,98
2011,28
2012,54
2013,264
2014,309
2015,268
2016,170
2017,480
2018,174
