Program,Year,Species,Port_sampled,Date of Collection,Oregon Sample #,Fish_ID#,Ovary_ID#,Certainty,1,2,3,4_1,4_2,5,6,7,8,9,10,Macro_maturity_code,Length,Biological_maturity,Functional_maturity,Macro_maturity,atresia,Spawning,Spent,size,N,prop_bio,prop_fun,prop_macro,Macro_accuracy,,,,
ODFW,2015,Canary,Astoria,11/23/2015,SP150019,2,9066,1,Y,Y,Y,N,N,N,Y,Y,N,N,N,3,40,1,0,1,75,N,N,53,8,1,1,1,0,,,,
ODFW,2016,Canary RF,Newport,10/21/2016,OR1651973,1,1011,1,Y,Y,Y,N,N,N,N,N,N,N,N,3,43,0,0,1,0,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Newport,11/19/2016,OR1652246,7,958,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,3,43,1,0,1,50,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/3/2016,OR160919,1,716,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,44,1,0,1,30,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Newport,11/19/2016,OR1652246,11,939,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,44,1,0,1,2,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,5,9143,1,Y,Y,Y,N,N,Y,Y,Y,N,N,N,3,44,1,1,1,2,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,8,149,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,45,1,0,1,2,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/23/2015,OR154808,20,762,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,46,1,0,1,5,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/24/2016,OR1652001,10,1166,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,46,1,0,1,20,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,1,9155,1,Y,Y,Y,N,N,N,Y,Y,N,N,N,3,46,1,1,1,15,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/13/2016,,19,13,1,Y,Y,Y,Y,Y,Y,N,N,N,N,N,3,46,1,1,1,5,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,9,391,1,Y,Y,Y,N,Y,Y,Y,N,N,N,N,3,47,1,1,1,2,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/12/2016,OR1651844,2,1093,1,Y,Y,Y,N,N,Y,Y,Y,N,N,N,3,47,1,1,1,1,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Newport,11/19/2016,OR1652246,12,931,1,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,3,47,1,1,1,2,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,12,774,1,Y,Y,Y,N,N,Y,Y,N,N,N,N,3,48,1,1,1,1,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,11/1/2016,OR1652152,8,171,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,48,1,0,1,20,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,3,9135,1,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,3,48,1,1,1,5,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/23/2015,OR154808,17,56,1,Y,Y,Y,N,N,Y,Y,Y,N,N,N,3,49,1,1,1,1,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,13,21,1,Y,Y,Y,N,Y,Y,Y,N,N,N,N,3,49,1,1,1,2,N,N,,,,,,1,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,6,9147,1,Y,Y,Y,N,N,N,Y,Y,Y,N,N,3,49,1,1,1,1,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/23/2015,OR154808,10,7,1,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,3,50,1,1,1,2,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/23/2015,OR154808,9,55,1,Y,Y,Y,N,N,N,Y,Y,Y,N,N,3,50,1,1,1,2,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/6/2016,OR160738,3,273,1,Y,Y,Y,N,N,Y,Y,Y,N,N,N,3,50,1,0,1,50,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,28,43,1,Y,Y,Y,N,Y,Y,Y,N,N,N,N,3,50,1,1,1,1,N,N,,,,,,1,,,,
ODFW,2015,Canary,Astoria,11/4/2015,OR154807,20,9142,1,Y,Y,Y,N,N,Y,Y,Y,N,N,N,3,51,1,1,1,1,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/23/2015,OR154808,13,786,1,Y,Y,Y,N,N,Y,Y,Y,N,N,N,3,51,1,1,1,1,N,N,,,,,,0,,,,
